#Acc_x;Acc_z;Elongation Droit;Elongation gauche;Gyro_x;Gyro_z;PressionPiedDArriereD;PressionPiedDArriereG;PressionPiedDAvantD;PressionPiedDAvantG;PressionPiedGArriereD;PressionPiedGArriereG;PressionPiedGAvantD;PressionPiedGAvantG
1495;1517;552;801;1787;1805;3036;1471;70;2161;3043;2437;1041;2846
1492;1519;553;801;1791;1803;3035;1356;70;2152;3043;2442;1041;2846
1492;1516;553;800;1790;1804;3037;1272;74;2147;3044;2429;1041;2849
1495;1514;553;801;1789;1801;3036;1377;72;2160;3043;2427;1041;2847
1496;1516;553;800;1789;1804;3036;1364;70;2157;3043;2436;1041;2848
1498;1516;553;801;1789;1801;3036;1294;74;2155;3043;2434;1042;2846
1495;1518;553;801;1790;1804;3037;1435;69;2156;3044;2440;1041;2848
1495;1514;554;801;1785;1803;3036;1508;71;2160;3041;2440;1041;2846
1494;1516;554;801;1789;1800;3036;1563;72;2160;3043;2436;1042;2845
1493;1518;553;801;1790;1802;3037;1525;70;2164;3045;2437;1041;2841
1493;1519;553;801;1787;1804;3037;1534;70;2166;3045;2443;1041;2846
1492;1520;552;801;1789;1804;3037;1576;71;2175;3047;2443;1041;2849
1492;1520;552;801;1789;1804;3037;1576;71;2175;3047;2443;1041;2849
1491;1517;553;800;1789;1803;3038;1726;73;2169;3045;2446;1042;2848
1494;1517;553;801;1787;1801;3040;1708;71;2171;3045;2445;1042;2847
1494;1517;553;801;1792;1802;3039;1708;72;2161;3045;2447;1041;2849
1495;1519;554;801;1786;1802;3040;1639;74;2172;3045;2445;1042;2845
1495;1518;553;801;1788;1804;3037;1584;67;2169;3045;2449;1041;2843
1495;1518;553;801;1788;1804;3037;1584;67;2169;3045;2449;1041;2843
1497;1517;553;801;1789;1801;3039;1487;71;2169;3046;2410;1041;2841
1491;1522;553;801;1789;1802;3038;1449;71;2167;3044;2401;1042;2842
1495;1515;552;800;1794;1809;3034;1457;73;2159;3041;2448;1041;2842
1494;1512;552;800;1793;1806;3034;1540;70;2153;3040;2454;1041;2846
1495;1514;553;800;1793;1809;3034;1481;74;2157;3041;2443;1041;2845
1493;1513;552;801;1792;1810;3033;1579;68;2155;3041;2422;1041;2845
1493;1518;553;801;1792;1805;3034;1542;70;2164;3041;2442;1041;2847
1492;1516;552;800;1792;1804;3035;1371;72;2165;3041;2433;1041;2843
1496;1517;552;801;1792;1804;3035;1415;72;2163;3042;2409;1042;2839
1489;1516;553;800;1793;1808;3035;1629;75;2158;3041;2418;1041;2838
1490;1517;553;802;1795;1808;3035;1618;71;2153;3041;2422;1041;2839
1493;1515;553;801;1790;1804;3035;1677;72;2139;3041;2418;1041;2838
1492;1517;552;801;1794;1805;3033;1670;70;2133;3040;2431;1041;2844
1493;1515;553;800;1792;1804;3034;1683;71;2128;3042;2442;1041;2847
1491;1515;552;799;1791;1805;3034;1747;72;2132;3042;2445;1041;2845
1493;1515;552;800;1792;1804;3034;1737;71;2126;3042;2427;1042;2848
1496;1518;552;800;1792;1804;3035;1660;72;2127;3043;2401;1041;2848
1491;1515;552;799;1789;1804;3036;1631;72;2120;3043;2387;1041;2843
1493;1517;553;801;1791;1805;3035;1547;69;2120;3042;2393;1041;2849
1493;1517;553;801;1791;1805;3035;1547;69;2120;3042;2393;1041;2849
1492;1519;554;800;1791;1803;3035;1572;70;2123;3041;2411;1042;2846
1491;1513;552;798;1791;1807;3037;1609;72;2119;3041;2403;1041;2844
1497;1512;553;797;1792;1805;3035;1715;73;2123;3042;2422;1041;2845
1494;1519;552;795;1788;1802;3035;1744;68;2123;3042;2413;1041;2844
1495;1515;552;799;1791;1806;3033;1777;74;2124;3042;2428;1041;2848
1490;1516;553;801;1793;1802;3036;1747;71;2133;3042;2424;1041;2849
1489;1516;553;800;1789;1803;3035;1738;70;2131;3043;2422;1041;2847
1489;1518;553;802;1788;1804;3035;1770;73;2137;3043;2419;1042;2847
1489;1518;553;802;1788;1804;3035;1770;73;2137;3043;2419;1042;2847
1493;1519;553;802;1792;1806;3036;1815;73;2140;3042;2406;1041;2843
1493;1519;553;802;1792;1806;3036;1815;73;2140;3042;2406;1041;2843
1492;1519;552;801;1792;1799;3034;1792;70;2131;3042;2415;1041;2846
1495;1518;553;800;1789;1804;3036;1771;72;2131;3042;2432;1041;2846
1493;1517;553;800;1790;1802;3036;1785;72;2129;3041;2430;1041;2850
1493;1516;553;801;1791;1803;3036;1715;71;2139;3041;2425;1040;2846
1493;1514;553;800;1790;1804;3036;1696;71;2139;3042;2423;1041;2844
1494;1516;552;800;1791;1802;3036;1627;72;2142;3042;2413;1041;2847
1497;1518;553;801;1793;1803;3036;1507;72;2141;3042;2433;1040;2848
1493;1515;553;800;1789;1805;3035;1361;70;2136;3043;2426;1041;2846
1494;1516;552;800;1789;1807;3036;1551;70;2150;3043;2421;1041;2844
1491;1520;552;800;1790;1803;3036;1630;73;2146;3044;2427;1041;2846
1496;1515;553;800;1787;1804;3037;1714;73;2148;3045;2432;1041;2845
1493;1521;552;800;1789;1801;3036;1747;71;2148;3046;2439;1041;2845
1490;1516;551;800;1792;1803;3035;1741;70;2150;3046;2446;1041;2851
1490;1518;552;801;1790;1801;3036;1758;71;2156;3045;2444;1041;2849
1498;1517;553;801;1791;1804;3038;1805;71;2152;3045;2444;1041;2848
1497;1516;554;801;1789;1803;3039;1808;71;2160;3045;2436;1041;2850
1494;1517;553;801;1788;1805;3040;1817;72;2156;3045;2436;1041;2851
1494;1516;553;801;1788;1806;3040;1807;72;2144;3045;2432;1041;2851
1496;1517;553;801;1786;1806;3039;1699;69;2150;3045;2435;1042;2851
1496;1517;553;801;1786;1806;3039;1699;69;2150;3045;2435;1042;2851
1487;1517;552;800;1783;1803;3038;2039;73;2149;3042;2424;1040;2837
1487;1514;553;801;1783;1807;3038;2275;70;2149;3045;2425;1039;2821
1495;1520;554;801;1782;1804;3039;2376;71;2147;3045;2464;1038;2793
1495;1520;554;801;1782;1804;3039;2376;71;2147;3045;2464;1038;2793
1488;1519;554;802;1781;1807;3039;2410;73;2150;3044;2473;1037;2795
1495;1516;554;801;1783;1803;3039;2373;70;2160;3045;2486;1038;2826
1493;1514;553;802;1780;1804;3038;2343;71;2163;3045;2486;1039;2842
1501;1515;554;802;1781;1804;3039;2265;73;2159;3045;2505;1039;2850
1503;1512;553;801;1784;1804;3038;1677;68;2151;3045;2501;1042;2867
1500;1510;554;800;1784;1804;3037;1477;74;2132;3045;2453;1042;2871
1509;1513;553;800;1782;1803;3038;1491;71;2110;3045;2317;1042;2861
1512;1517;553;800;1787;1801;3037;1445;73;2093;3044;2267;1043;2866
1508;1517;553;798;1791;1806;3034;1496;71;2086;3039;2200;1042;2858
1506;1522;553;798;1794;1807;3032;1548;68;2113;3038;2166;1042;2843
1504;1516;552;798;1795;1807;3033;1670;72;2115;3039;2182;1042;2841
1504;1516;552;798;1795;1807;3033;1670;72;2115;3039;2182;1042;2841
1495;1513;553;798;1798;1808;3033;1875;72;2147;3038;2275;1041;2840
1500;1513;552;796;1796;1804;3033;2113;70;2167;3040;2344;1040;2834
1493;1512;552;795;1799;1810;3033;2312;71;2165;3039;2455;1039;2838
1489;1517;553;793;1795;1805;3034;2402;71;2181;3040;2489;1038;2842
1492;1514;553;794;1794;1805;3032;2493;71;2178;3040;2500;1038;2834
1489;1511;553;798;1790;1803;3034;2530;72;2182;3041;2504;1038;2825
1490;1514;552;793;1793;1805;3033;2484;70;2176;3040;2501;1038;2826
1490;1513;552;796;1789;1807;3034;2395;72;2180;3040;2498;1038;2830
1494;1518;552;797;1790;1805;3034;2351;72;2182;3041;2473;1038;2826
1496;1514;552;797;1790;1806;3032;2253;72;2189;3041;2451;1039;2826
1496;1514;552;797;1790;1806;3032;2253;72;2189;3041;2451;1039;2826
1501;1518;552;798;1789;1809;3034;1952;72;2196;3040;2411;1040;2835
1501;1521;552;797;1788;1809;3033;1609;72;2167;3040;2358;1040;2840
1502;1514;553;797;1788;1806;3034;1556;72;2143;3039;2329;1041;2844
1507;1517;552;798;1790;1805;3033;1666;73;2111;3040;2311;1042;2852
1508;1515;553;798;1794;1804;3033;1640;68;2097;3040;2270;1042;2854
1508;1515;552;797;1793;1807;3033;1668;71;2098;3037;2284;1042;2853
1505;1516;552;798;1795;1808;3033;1482;71;2104;3040;2320;1042;2852
1504;1515;553;799;1795;1806;3034;1519;73;2121;3041;2325;1041;2852
1502;1517;553;798;1794;1804;3034;1649;70;2125;3041;2346;1042;2844
1499;1514;552;798;1793;1805;3035;1838;74;2102;3041;2360;1040;2836
1496;1518;552;798;1792;1802;3033;2203;69;2100;3040;2410;1040;2830
1491;1516;553;797;1793;1804;3034;2255;69;2102;3041;2439;1040;2831
1494;1516;552;798;1793;1806;3035;2332;72;2107;3041;2484;1040;2830
1489;1512;552;799;1796;1805;3035;2370;72;2111;3043;2488;1039;2829
